Invoice_Number__c,Invoice_Plant__c,Invoice_Customer_Code__c,Invoice_Customer_Name__c,Invoice_Sales_Org__c,Invoice_Division__c,Invoice_Sales_Group__c,Invoice_Sales_Office__c,Customer_Group__c,Invoice_District__c,Invoice_City__c,Invoice_Date__c,SO_Customer_Ref__c,SO_Customer_Ref_Date__c,Sales_Order_Number__c,Quotation_Number__c,City_Code_Diag__c
9200029140,3200,3020001506,Sysmed & Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-06,915,2021-10-27,3000025000,,LHR
9200029141,3200,3020001173,Royal Medical Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-06,1394,2021-12-07,3000025551,,LHR
9200029142,3200,3020000237,Amir Scientific Store,3000,30,Z07,2000,5,2000,Multan,2022-01-06,AMS-7812-21,2021-12-20,3000026087,2900014701,MLT
9200029143,3200,3020001460,Labex Services,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-06,04,2021-12-20,3000025790,,RWP
9200029144,3200,3020001460,Labex Services,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-06,03,2021-11-08,3000024946,2900014142,RWP
9200029145,3200,3020000717,Fair Diagnostics & Science,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-06,FDS/017-21,2021-10-26,3000024556,2900013953,RWP
9200029146,3200,3020000257,Biocare Enterprises,3000,30,Z09,3000,5,1000,Islamabad,2022-01-06,921,2021-11-12,3000025094,,RWP
9200029147,3200,3020000936,Magma International,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-06,11-21/01,2021-11-04,3000024883,,RWP
9200029148,3200,3020001717,Horizon Touch,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-06,HT3535/003,2022-01-04,3000026119,2900014933,RWP
9200029150,3300,3020001169,Rose International Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-06,301221,2021-12-30,3000026116,2900014931,RWP
9200029154,3300,3020001622,Chemsol International,3000,30,Z07,2000,5,2000,Lahore,2022-01-06,PESSI-8649,2021-12-12,3000026079,2900014910,LHR
9200029155,3300,3020000257,Biocare Enterprises,3000,30,Z09,3000,5,1000,Islamabad,2022-01-06,929,2021-12-08,3000026022,,RWP
9200029162,3200,3020001746,Life Scans Technologies,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-07,16/11,2021-11-16,3000026040,,GRW
9200029163,3200,3020001746,Life Scans Technologies,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-07,16/11,2021-11-16,3000026040,,GRW
9200029164,3300,3020001746,Life Scans Technologies,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-07,16/11,2021-11-16,3000026040,,GRW
9200029165,3200,3020000262,Chempure,3000,30,Z07,2000,5,2000,Lahore,2022-01-07,821-SMCH,2021-12-20,3000026130,,LHR
9200029166,3200,3020001169,Rose International Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-07,301221,2021-12-30,3000026116,2900014931,RWP
9200029167,3200,3020001169,Rose International Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-07,161221,2021-12-16,3000026117,2900014930,RWP
9200029168,3200,3020001169,Rose International Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-07,311221,2021-12-31,3000026118,2900014929,RWP
9200029171,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-07,0992,2022-01-06,3000026128,2900014949,KHI
9200029210,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-07,0993,2022-01-07,3000026191,2900014968,KHI
9200029220,3300,3020000918,M.A.Traders,3000,30,Z08,2000,5,2000,Sialkot,2022-01-10,5346,2022-01-05,3000026187,,GRW
9200029225,3300,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-10,CDI008,2021-12-18,3000026037,2900014813,PWR
9200029226,3300,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-10,CDI007,2021-12-16,3000026032,,PWR
9200029227,3300,3020000093,Hira Medical Centre (Private) Limit,3000,30,Z03,1000,6,3000,Sukkur,2022-01-10,HMC-03.01.2022-01,2022-01-03,3000026059,2900014884,SKR
9200029244,3300,3020001687,Dua Enterprises,3000,30,Z07,2000,5,2000,Rahim Yar Khan,2022-01-10,A-021/DUA/22,2022-01-05,3000026175,2900014947,MLT
