"Id","AG_OG__c","DGroup__c"
"a0GBK000003rmR72AI","E-CC-REF","Reagent"
"a0GBK000003rmR82AI","E-CC-REF","Reagent"
"a0GBK000003rmR92AI","E-CC-REF","Reagent"
"a0GBK000003rmRA2AY","E-CC-REF","Reagent"
"a0GBK000003rmRB2AY","E-CC-REF","Reagent"
"a0GBK000003rmRC2AY","E-CC-REF","Reagent"
"a0GBK000003rmRD2AY","E-CC-REF","Reagent"
"a0GBK000003rmRE2AY","E-CC-REF","Reagent"
"a0GBK000003rmRF2AY","E-CC-REF","Reagent"
"a0GBK000003rmRG2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmRH2AY","E-CC-REF","Reagent"
"a0GBK000003rmRI2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmRJ2AY","A-HM-INST","Instrument/Part"
"a0GBK000003rmRK2AY","OR-IMA-CON","Reagent"
"a0GBK000003rmRL2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmRM2AY","E-CC-REF","Reagent"
"a0GBK000003rmRN2AY","E-CC-REF","Reagent"
"a0GBK000003rmRO2AY","E-CC-REF","Reagent"
"a0GBK000003rmRP2AY","E-CC-REF","Reagent"
"a0GBK000003rmRQ2AY","E-CC-REF","Reagent"
"a0GBK000003rmRR2AY","E-CC-REF","Reagent"
"a0GBK000003rmRS2AY","E-CC-REF","Reagent"
"a0GBK000003rmRT2AY","E-CC-REF","Reagent"
"a0GBK000003rmRU2AY","E-CC-REF","Reagent"
"a0GBK000003rmRV2AY","OR-IMA-CON","Reagent"
"a0GBK000003rmRW2AY","E-CC-REF","Reagent"
"a0GBK000003rmRX2AY","E-CC-REF","Reagent"
"a0GBK000003rmRY2AY","E-CC-REF","Reagent"
"a0GBK000003rmRZ2AY","E-CC-REF","Reagent"
"a0GBK000003rmRa2AI","E-CC-REF","Reagent"
"a0GBK000003rmRb2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmRc2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmRd2AI","E-CC-REF","Reagent"
"a0GBK000003rmRe2AI","E-CC-INST","Instrument/Part"
"a0GBK000003rmRf2AI","A-HM-REAG","Reagent"
"a0GBK000003rmRg2AI","A-HM-REAG","Reagent"
"a0GBK000003rmRh2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmRi2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmRj2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmRk2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmRl2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmRm2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmRn2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmRo2AI","OR-IMA-PAR","Instrument/Part"
"a0GBK000003rmRp2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmRq2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmRr2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmRs2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmRt2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmRu2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmRv2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmRw2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmRx2AI","E-CC-REF","Reagent"
"a0GBK000003rmRy2AI","E-CC-REF","Reagent"
"a0GBK000003rmRz2AI","E-CC-REF","Reagent"
"a0GBK000003rmS02AI","E-CC-REF","Reagent"
"a0GBK000003rmS12AI","E-CC-REF","Reagent"
"a0GBK000003rmS22AI","E-CC-REF","Reagent"
"a0GBK000003rmS32AI","E-CC-REF","Reagent"
"a0GBK000003rmS42AI","E-CC-REF","Reagent"
"a0GBK000003rmS52AI","E-CC-REF","Reagent"
"a0GBK000003rmS62AI","E-CC-REF","Reagent"
"a0GBK000003rmS72AI","E-CC-REF","Reagent"
"a0GBK000003rmS82AI","E-CC-REF","Reagent"
"a0GBK000003rmS92AI","D-CC-REAG","Reagent"
"a0GBK000003rmSA2AY","E-CC-REF","Reagent"
"a0GBK000003rmSB2AY","E-CC-REF","Reagent"
"a0GBK000003rmSC2AY","E-CC-REF","Reagent"
"a0GBK000003rmSD2AY","E-CC-REF","Reagent"
"a0GBK000003rmSE2AY","E-CC-REF","Reagent"
"a0GBK000003rmSF2AY","E-CC-REF","Reagent"
"a0GBK000003rmSG2AY","E-CC-REF","Reagent"
"a0GBK000003rmSH2AY","E-CC-REF","Reagent"
"a0GBK000003rmSI2AY","E-CC-REF","Reagent"
"a0GBK000003rmSJ2AY","E-CC-REF","Reagent"
"a0GBK000003rmSK2AY","E-CC-REF","Reagent"
"a0GBK000003rmSL2AY","E-CC-REF","Reagent"
"a0GBK000003rmSM2AY","E-CC-REF","Reagent"
"a0GBK000003rmSN2AY","A-HM-REAG","Reagent"
"a0GBK000003rmSO2AY","A-HM-REAG","Reagent"
"a0GBK000003rmSP2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmSQ2AY","ER-ELCT-CON","Reagent"
"a0GBK000003rmSR2AY","E-CC-REF","Reagent"
"a0GBK000003rmSS2AY","E-CC-REF","Reagent"
"a0GBK000003rmST2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmSU2AY","E-CC-REF","Reagent"
"a0GBK000003rmSV2AY","E-CC-REF","Reagent"
"a0GBK000003rmSW2AY","E-CC-REF","Reagent"
"a0GBK000003rmSX2AY","E-CC-REF","Reagent"
"a0GBK000003rmSY2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmSZ2AY","E-CC-REAG","Reagent"
"a0GBK000003rmSa2AI","E-CC-REF","Reagent"
"a0GBK000003rmSb2AI","E-CC-REF","Reagent"
"a0GBK000003rmSc2AI","E-CC-REF","Reagent"
"a0GBK000003rmSd2AI","A-HM-REAG","Reagent"
"a0GBK000003rmSe2AI","A-HM-REAG","Reagent"
"a0GBK000003rmSf2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmSg2AI","A-HM-REAG","Reagent"
"a0GBK000003rmSh2AI","A-HM-REAG","Reagent"
"a0GBK000003rmSi2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmSj2AI","E-CC-REAG","Reagent"
"a0GBK000003rmSk2AI","E-CC-REAG","Reagent"
"a0GBK000003rmSl2AI","E-CC-REAG","Reagent"
"a0GBK000003rmSm2AI","E-CC-REAG","Reagent"
"a0GBK000003rmSn2AI","E-CC-REAG","Reagent"
"a0GBK000003rmSo2AI","E-CC-REAG","Reagent"
"a0GBK000003rmSp2AI","E-CC-REF","Reagent"
"a0GBK000003rmSq2AI","E-CC-REF","Reagent"
"a0GBK000003rmSr2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmSs2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmSt2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmSu2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmSv2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmSw2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmSx2AI","E-CC-INST","Instrument/Part"
"a0GBK000003rmSy2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmSz2AI","E-CC-REF","Reagent"
"a0GBK000003rmT02AI","E-CC-REF","Reagent"
"a0GBK000003rmT12AI","E-CC-REF","Reagent"
"a0GBK000003rmT22AI","E-CC-REF","Reagent"
"a0GBK000003rmT32AI","E-CC-REF","Reagent"
"a0GBK000003rmT42AI","YHLO-IMA-C","Reagent"
"a0GBK000003rmT52AI","YHLO-IMA-C","Reagent"
"a0GBK000003rmT62AI","YHLO-IMA-C","Reagent"
"a0GBK000003rmT72AI","YHLO-IMA-C","Reagent"
"a0GBK000003rmT82AI","E-CC-REF","Reagent"
"a0GBK000003rmT92AI","E-CC-REF","Reagent"
"a0GBK000003rmTA2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTB2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTC2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTD2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmTE2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmTF2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmTG2AY","YHLO-IMA-C","Reagent"
"a0GBK000003rmTH2AY","YHLO-IMA-C","Reagent"
"a0GBK000003rmTI2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTJ2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTK2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTL2AY","E-CC-REF","Reagent"
"a0GBK000003rmTM2AY","E-CC-REF","Reagent"
"a0GBK000003rmTN2AY","E-CC-REF","Reagent"
"a0GBK000003rmTO2AY","E-CC-REF","Reagent"
"a0GBK000003rmTP2AY","E-CC-REF","Reagent"
"a0GBK000003rmTQ2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTR2AY","E-CC-REF","Reagent"
"a0GBK000003rmTS2AY","E-CC-REF","Reagent"
"a0GBK000003rmTT2AY","E-CC-REF","Reagent"
"a0GBK000003rmTU2AY","A-HM-REAG","Reagent"
"a0GBK000003rmTV2AY","A-HM-REAG","Reagent"
